training_code,trainer_username,username,Max Marks [10]
DS-098,Katie Davidson,Brandon Wade,6.75
FS-041,Roberto Daniel,Brandon Wade,3.75
UI-079,Steve Lopez,Brenda Johnson,3.75
DS-028,Anna Howell,Brenda Johnson,4.25
FS-067,Ronald Tanner,Brenda Patterson,3.5
ST-027,Kevin Holt,Brent Lee,5.75
ST-023,Leslie Holland,Brian Chavez,4.0
FS-042,Cassandra Fuentes,Brian Long,5.5
ST-023,Leslie Holland,Brian Zamora,5.5
DE-083,Jonathan Stone,Brian Zamora,4.0
FS-067,Ronald Tanner,Brittany Fitzgerald,5.5
DS-080,Ricardo Anderson,Brittany Fitzgerald,5.25
UI-005,Lori Romero,Brittany Fitzgerald,4.5
DE-069,Jesus Carter,Brittany Fitzgerald,4.5
DE-011,Brittany Ramirez,Brittany Gonzalez,4.5
UI-076,April Brown,Brittany Martin,5.5
FS-045,Sheena Maxwell,Brittany Simmons,6.25
DS-089,Ms. Kara Smith,Brittany Solis,6.25
UI-024,Cathy Francis,Brittney Sanders,2.5
FS-068,Cassandra Fuentes,Brittney Sanders,5.75
UI-079,Steve Lopez,Bruce Cuevas,7.5
UI-050,Edward Smith,Bruce Cuevas,4.0
FS-045,Sheena Maxwell,Bruce Cuevas,5.0
FS-012,Shawn Lowe,Bruce Cuevas,3.25
DS-018,Amanda Goodman,Bruce Edwards,5.75
FS-017,Jessica Wilkinson,Caitlin Kelley,5.5
UI-055,Charles Smith,Caitlin Kelley,4.75
DE-006,Keith Roberson,Caleb Wright,7.0
FS-067,Ronald Tanner,Caleb Wright,5.0
ST-072,Paul Andersen,Calvin Newman,4.75
ST-052,James Taylor,Calvin Newman,8.0
UI-074,Kevin Stewart,Calvin Newman,4.25
DE-092,Jeremy Medina,Calvin Newman,4.0
DE-097,Lisa Jackson,Cameron Ellis,4.75
FS-012,Shawn Lowe,Cameron Ellis,5.25
DE-006,Keith Roberson,Cameron Ellis,4.0
UI-079,Steve Lopez,Cameron Ellis,6.5
DS-033,Steven Todd,Cameron Parker,3.25
DE-086,Jonathan Stone,Cameron Parker,3.75
UI-093,Christine Marshall,Cameron Sanchez,4.0
ST-038,Joan Armstrong,Cameron Sanchez,4.5
DS-089,Ms. Kara Smith,Cameron Sanchez,3.0
ST-070,Elizabeth Blake MD,Cameron Sanchez,5.0
DS-018,Amanda Goodman,Cameron Sanchez,3.75
UI-058,David Flores,Cameron Sanchez,3.75
UI-058,David Flores,Cameron Thompson,5.75
DE-009,Jennifer Fleming,Cameron Thompson,4.5
DS-080,Ricardo Anderson,Cameron Thompson,6.0
UI-087,Mark Jenkins,Carl Cross,5.5
UI-050,Edward Smith,Carla Howell,3.75
UI-049,Brandy Bullock,Carla Howell,6.0
FS-001,Theresa Dixon,Carol House,5.0
UI-065,Steven Estes,Carol House,7.0
DE-006,Keith Roberson,Carol House,5.25
ST-091,David Flores,Carolyn Bennett,5.75
FS-016,Christopher Bass,Carolyn Bennett,5.75
UI-010,Renee Smith,Carolyn Bennett,5.0
FS-021,Juan Coleman,Carolyn Bennett,7.5
FS-095,Emily Mckay,Carrie Haley,3.5
DS-018,Amanda Goodman,Carrie Haley,4.5
FS-045,Sheena Maxwell,Carrie Smith,5.0
ST-008,Marc Martinez,Carrie Smith,5.25
FS-095,Emily Mckay,Casey Black,3.5
DS-080,Ricardo Anderson,Casey Black,3.25
UI-093,Christine Marshall,Casey Black,5.0
DS-054,Carrie Mathis,Casey Harding,3.25
DS-028,Anna Howell,Cassidy Burke,8.25
DE-086,Jonathan Stone,Cassie Barber,7.75
FS-042,Cassandra Fuentes,Cassie Barber,4.25
DS-075,Ronald Tanner,Catherine Reyes,4.25
UI-055,Charles Smith,Catherine Reyes,4.5
DE-025,Ariana Stevens,Catherine Reyes,4.75
UI-049,Brandy Bullock,Catherine Reyes,6.5
DE-073,Carolyn Brown,Chad Simpson,2.5
DE-082,Rhonda Miller,Chad Simpson,2.75
DS-018,Amanda Goodman,Chad Simpson,5.25
DS-098,Katie Davidson,Chad Simpson,5.5
UI-015,Jeremy Medina,Charles Dean,5.0
DE-006,Keith Roberson,Charles Dean,4.25
UI-093,Christine Marshall,Charles Dean,6.0
FS-001,Theresa Dixon,Charles Gallagher,3.75
DE-086,Jonathan Stone,Charles Jones,4.75
DS-030,Steve Lopez,Charles Jones,3.75
FS-062,Megan Simpson,Chelsea Bailey,5.0
ST-091,David Flores,Chelsea Bailey,7.25
DE-092,Jeremy Medina,Chelsea Smith,4.0
DS-056,Scott Neal,Chelsea Smith,5.75
DE-009,Jennifer Fleming,Chelsey Vazquez,4.5
ST-070,Elizabeth Blake MD,Chelsey Vazquez,2.5
ST-008,Marc Martinez,Chloe Holland DDS,4.75
DE-025,Ariana Stevens,Chloe Holland DDS,3.5
ST-090,Charles Smith,Christie Wells,6.0
FS-100,Nicholas Lewis,Christie Wells,5.75
DE-025,Ariana Stevens,Christina Johnson,6.0
DS-056,Scott Neal,Christina Reeves,6.75
UI-015,Jeremy Medina,Christina Reeves,9.0
DS-063,Sara Le,Christina Reeves,2.75
DS-089,Ms. Kara Smith,Christina Reeves,4.25
DS-018,Amanda Goodman,Christine Stevens,3.5
DE-083,Jonathan Stone,Christopher Barnes,4.5
FS-040,Daniel Hopkins,Christopher Barnes,4.5
ST-007,Teresa Bentley,Christopher Barnes,7.25
UI-005,Lori Romero,Christopher Barnes,5.5
ST-085,Jesus Carter,Christopher Castillo DDS,6.5
UI-050,Edward Smith,Christopher Castillo DDS,4.25
UI-039,Leslie Holland,Christopher Castillo DDS,4.0
ST-072,Paul Andersen,Christopher Castillo DDS,2.75
UI-055,Charles Smith,Christopher Diaz,4.25
DE-064,Tina Chen DVM,Christopher Diaz,6.25
DS-098,Katie Davidson,Christopher Diaz,3.25
FS-016,Christopher Bass,Christopher Diaz,7.0
FS-042,Cassandra Fuentes,Christopher Diaz,4.75
UI-065,Steven Estes,Christopher Hayes,5.5
FS-019,Mary Ortiz,Christopher Hayes,6.75
FS-062,Megan Simpson,Christopher Lee,5.0
DE-009,Jennifer Fleming,Christopher Medina,5.0
UI-093,Christine Marshall,Christopher Medina,4.25
ST-091,David Flores,Christopher Medina,5.0
DS-089,Ms. Kara Smith,Christopher Medina,6.25
UI-036,Jeremy Medina,Christopher Pratt,4.5
DS-054,Carrie Mathis,Christopher Pratt,4.25
ST-023,Leslie Holland,Christopher Smith,4.5
DS-054,Carrie Mathis,Christopher Young,6.5
DS-018,Amanda Goodman,Christopher Young,6.25
DS-030,Steve Lopez,Christy Harris,4.25
DE-097,Lisa Jackson,Claire Bradley,7.25
DE-048,Jared Williamson,Claire Bradley,6.5
FS-019,Mary Ortiz,Claire Bradley,7.25
ST-043,Ms. Kara Smith,Claire Bradley,4.5
FS-021,Juan Coleman,Clayton Barton,5.25
UI-050,Edward Smith,Cody Vance,5.0
DE-006,Keith Roberson,Cody Vance,3.5
ST-085,Jesus Carter,Cody Walker,4.5
DS-030,Steve Lopez,Cody Walker,3.0
DS-075,Ronald Tanner,Cody Wilson,4.25
DS-028,Anna Howell,Cody Wilson,6.25
ST-014,Alyssa Gibson,Cody Wilson,4.5
FS-062,Megan Simpson,Collin Friedman,4.0
DE-092,Jeremy Medina,Connie Burke,5.5
DS-080,Ricardo Anderson,Connie Burke,3.5
UI-087,Mark Jenkins,Connie Burke,6.75
DS-018,Amanda Goodman,Connor Ellison,5.5
ST-070,Elizabeth Blake MD,Connor Ellison,4.5
DS-080,Ricardo Anderson,Corey Reynolds,5.0
ST-046,Renee Smith,Corey Reynolds,5.0
DE-006,Keith Roberson,Cory Moore,4.25
FS-001,Theresa Dixon,Courtney Massey,7.25
ST-004,George Hill,Courtney Massey,6.75
FS-026,Teresa Bentley,Courtney Ortiz,3.75
DS-030,Steve Lopez,Courtney Pruitt,6.25
DE-029,Steven Estes,Crystal Williamson,7.5
ST-043,Ms. Kara Smith,Crystal Williamson,2.5
DS-030,Steve Lopez,Curtis Glass,6.0
DE-025,Ariana Stevens,Curtis Glass,4.0
UI-055,Charles Smith,Curtis Glass,3.75
FS-019,Mary Ortiz,Cynthia Wright,3.75
DS-057,Daniel Hopkins,Cynthia Wright,5.5
DS-075,Ronald Tanner,Cynthia Wright,3.75
ST-027,Kevin Holt,Dana Martinez,4.25
FS-042,Cassandra Fuentes,Daniel Christensen,5.75
UI-087,Mark Jenkins,Daniel Christensen,4.0
FS-088,Thomas Howe,Daniel Christensen,4.5
FS-021,Juan Coleman,Daniel Christensen,4.5
ST-013,Peter Rowland,Daniel Golden,5.0
DS-075,Ronald Tanner,Daniel Golden,5.75
DS-098,Katie Davidson,Daniel Griffin DVM,5.5
DE-073,Carolyn Brown,Daniel Hernandez,5.25
FS-040,Daniel Hopkins,Daniel Hernandez,4.0
UI-024,Cathy Francis,Daniel Hernandez,7.25
DE-048,Jared Williamson,Daniel Hernandez,4.0
FS-061,Megan Simpson,Daniel Hernandez,9.0
DS-075,Ronald Tanner,Daniel Tapia,5.5
DE-048,Jared Williamson,Daniel Tapia,7.5
ST-004,George Hill,Daniel Tapia,5.5
UI-079,Steve Lopez,Daniel Tapia,2.0
UI-015,Jeremy Medina,Daniel Tapia,5.25
ST-052,James Taylor,Daniel Tapia,8.0
FS-012,Shawn Lowe,Daniel Trevino,4.0
ST-091,David Flores,Daniel Trevino,2.5
UI-077,Kelly Rodriguez Jr.,Daniel Walker,3.5
ST-013,Peter Rowland,Darin Erickson,5.25
DS-033,Steven Todd,Darin Erickson,6.0
ST-022,Cassandra Ortega,Darin Erickson,6.75
ST-014,Alyssa Gibson,Darrell Parker,3.75
ST-003,Elizabeth Green,Darrell Parker,7.0
FS-067,Ronald Tanner,Darrell Parker,5.0
UI-093,Christine Marshall,David Bradley,5.0
ST-013,Peter Rowland,David Haynes,5.75
ST-046,Renee Smith,David Moore,4.0
FS-061,Megan Simpson,David Moore,4.75
ST-023,Leslie Holland,David Mosley,3.5
DE-092,Jeremy Medina,David Nichols,6.25
UI-036,Jeremy Medina,David Nichols,4.0
UI-093,Christine Marshall,David Simmons,5.75
DS-080,Ricardo Anderson,David Simmons,5.75
UI-049,Brandy Bullock,David Simmons,7.0
DE-006,Keith Roberson,Deanna Clay,5.25
FS-035,William Ward,Deanna Clay,7.75
FS-040,Daniel Hopkins,Debbie Moreno,7.25
UI-074,Kevin Stewart,Debbie Moreno,5.5
DE-073,Carolyn Brown,Debbie Moreno,7.25
ST-023,Leslie Holland,Debbie Moreno,5.0
DE-086,Jonathan Stone,Debbie Moreno,3.75
DE-048,Jared Williamson,Debbie Moreno,5.0
UI-077,Kelly Rodriguez Jr.,Deborah Gutierrez,5.25
DE-083,Jonathan Stone,Deborah Williams,4.5
ST-070,Elizabeth Blake MD,Debra Hinton,5.25
DS-089,Ms. Kara Smith,Debra Hinton,5.0
DE-006,Keith Roberson,Debra Schroeder,5.25
FS-001,Theresa Dixon,Denise Joseph,7.75
DS-063,Sara Le,Denise Joseph,4.75
ST-070,Elizabeth Blake MD,Denise Joseph,3.25
DS-080,Ricardo Anderson,Dennis Brown,6.5
FS-067,Ronald Tanner,Dennis Brown,5.0
FS-068,Cassandra Fuentes,Dennis Brown,5.0
FS-042,Cassandra Fuentes,Derek Glenn,3.5
DE-025,Ariana Stevens,Derek Glenn,7.25
UI-074,Kevin Stewart,Donald Johnston,5.5
ST-072,Paul Andersen,Donald Johnston,3.0
DS-098,Katie Davidson,Donald Johnston,6.0
DE-092,Jeremy Medina,Donald Sweeney,7.0
FS-100,Nicholas Lewis,Donald Sweeney,6.25
DE-009,Jennifer Fleming,Donald Sweeney,4.75
UI-065,Steven Estes,Donna Wilson,5.25
DS-054,Carrie Mathis,Donna Wilson,5.0
UI-079,Steve Lopez,Donna Wilson,5.25
FS-095,Emily Mckay,Donna Wilson,5.25
FS-066,Jared Ortiz,Donna Wilson,4.25
DE-029,Steven Estes,Donna Wilson,6.0
DE-006,Keith Roberson,Dorothy Smith,3.75
ST-090,Charles Smith,Dorothy Smith,1.5
DE-097,Lisa Jackson,Dorothy Smith,2.75
FS-021,Juan Coleman,Dorothy Smith,6.75
DE-048,Jared Williamson,Douglas Crawford,7.5
DE-025,Ariana Stevens,Douglas Crawford,4.75
ST-085,Jesus Carter,Douglas Crawford,2.75
DS-037,Edward Smith,Douglas Thomas,5.25
DS-098,Katie Davidson,Dr. David Frey,3.5
DE-064,Tina Chen DVM,Dr. David Frey,2.25
ST-052,James Taylor,Dr. Patricia Manning MD,4.0
FS-067,Ronald Tanner,Dustin Miller,1.75
DE-009,Jennifer Fleming,Dustin Miller,2.25
ST-022,Cassandra Ortega,Earl Aguirre,4.75
ST-081,Reginald Smith,Edgar Nguyen,4.5
FS-001,Theresa Dixon,Edgar Nguyen,5.5
UI-015,Jeremy Medina,Edward Montoya,2.0
DE-082,Rhonda Miller,Edward Montoya,3.25
ST-085,Jesus Carter,Edward Thomas,4.5
ST-002,Brooke Costa,Edward Wood,4.5
FS-042,Cassandra Fuentes,Edward Wood,4.75
DE-073,Carolyn Brown,Elijah Harris,4.25
FS-045,Sheena Maxwell,Elijah Harris,5.0
DE-082,Rhonda Miller,Elijah Harris,6.75
DS-098,Katie Davidson,Elijah Harris,6.0
ST-046,Renee Smith,Elijah Meyers,6.75
ST-081,Reginald Smith,Elijah Meyers,3.0
FS-001,Theresa Dixon,Elizabeth Freeman,8.5
ST-052,James Taylor,Elizabeth Freeman,5.0
DE-048,Jared Williamson,Elizabeth Freeman,3.25
DS-080,Ricardo Anderson,Elizabeth Higgins,8.5
FS-021,Juan Coleman,Elizabeth Houston,4.5
ST-081,Reginald Smith,Elizabeth Houston,5.0
DE-069,Jesus Carter,Elizabeth Jones,4.75
ST-014,Alyssa Gibson,Elizabeth Roberts,5.75
ST-022,Cassandra Ortega,Elizabeth Roberts,2.75
UI-099,Thomas Matthews,Elizabeth Whitney,3.5
DE-082,Rhonda Miller,Elizabeth Whitney,5.5
UI-055,Charles Smith,Elizabeth Whitney,3.75
DS-054,Carrie Mathis,Emily Edwards,3.0
FS-042,Cassandra Fuentes,Emily Edwards,6.75
DE-097,Lisa Jackson,Emily Edwards,3.75
UI-074,Kevin Stewart,Emily Edwards,2.75
DS-080,Ricardo Anderson,Emma Banks,5.0
FS-062,Megan Simpson,Emma Banks,7.0
DS-030,Steve Lopez,Emma Kelly,2.5
FS-042,Cassandra Fuentes,Emma Kelly,3.5
UI-049,Brandy Bullock,Emma Kelly,5.0
FS-021,Juan Coleman,Emma Kelly,5.75
DS-057,Daniel Hopkins,Emma Kelly,4.75
DS-063,Sara Le,Emma Kelly,4.75
FS-095,Emily Mckay,Emma King,5.75
DS-030,Steve Lopez,Emma King,5.75
UI-099,Thomas Matthews,Eric Alvarado,7.75
ST-013,Peter Rowland,Eric Castro,5.5
FS-021,Juan Coleman,Felicia Brown,6.25
DE-048,Jared Williamson,Frank George,2.25
ST-022,Cassandra Ortega,Frank George,3.5
ST-014,Alyssa Gibson,Frank George,5.25
DE-011,Brittany Ramirez,Frank George,4.5
FS-032,Jeremy Medina,Frank George,5.0
DE-006,Keith Roberson,Gabrielle Roberts MD,3.25
ST-003,Elizabeth Green,Gail Hebert,4.0
DS-030,Steve Lopez,Gary Li,4.5
FS-100,Nicholas Lewis,Gary Li,4.5
FS-012,Shawn Lowe,Gary Li,5.5
ST-072,Paul Andersen,Gary Li,3.75
DS-098,Katie Davidson,Gary Munoz,3.5
UI-093,Christine Marshall,Gene Miller,5.25
FS-047,Lisa Jackson,Geoffrey Mullen,4.25
ST-027,Kevin Holt,Geoffrey Mullen,7.0
DE-011,Brittany Ramirez,George Foster,3.25
DS-030,Steve Lopez,George Foster,6.5
ST-027,Kevin Holt,George Foster,4.0
DE-025,Ariana Stevens,George Foster,5.25
UI-055,Charles Smith,George Graves,5.0
ST-014,Alyssa Gibson,George Graves,7.0
FS-100,Nicholas Lewis,George Nolan,7.0
DS-075,Ronald Tanner,George Nolan,3.75
FS-041,Roberto Daniel,George Owens,6.5
UI-076,April Brown,Gina Franklin,5.0
DS-054,Carrie Mathis,Gina Franklin,5.75
DE-060,Jill Munoz,Gina Osborn,5.5
UI-055,Charles Smith,Grant Lee,4.75
FS-066,Jared Ortiz,Grant Lee,6.25
ST-014,Alyssa Gibson,Gregory Hernandez,2.5
ST-091,David Flores,Gregory Salas DVM,5.25
FS-017,Jessica Wilkinson,Gregory Salas DVM,5.5
DE-025,Ariana Stevens,Guy Park,4.25
DS-075,Ronald Tanner,Guy Park,3.75
DE-025,Ariana Stevens,Hannah Cunningham MD,6.0
ST-008,Marc Martinez,Hannah Cunningham MD,4.5
FS-035,William Ward,Hannah Cunningham MD,6.75
UI-076,April Brown,Hannah Cunningham MD,6.0
DS-054,Carrie Mathis,Hannah Gomez,5.25
FS-062,Megan Simpson,Hannah Gomez,6.5
ST-023,Leslie Holland,Hannah Gomez,3.25
DS-020,Dylan Lawson,Hannah Reed,2.75
ST-085,Jesus Carter,Hannah Reed,4.75
