training_code,trainer_username,participant_username,participant_hackerRankScore,participant_performance,participant_assessmentScore,participant_communication,Max_Marks[10]
UI-003,Hunter Garrison,Sarah Brown,6,6,3,9,6.0
UI-003,Hunter Garrison,Jennifer Cain,7,2,7,8,6.0
UI-002,James Harris,Anthony Bonilla,5,8,9,6,7.0
UI-002,James Harris,Leah Snyder,7,8,10,2,6.75
UI-002,James Harris,Cynthia Herrera,2,6,7,9,6.0
UI-002,James Harris,Kristin Griffin,9,2,9,0,5.0
UI-002,James Harris,Deborah Cox,1,6,9,3,4.75
ST-086,Natalie Roberts,Andrew Porter,10,6,4,10,7.5
ST-086,Natalie Roberts,Cathy Weber,7,7,6,5,6.25
ST-086,Natalie Roberts,Brenda Wong,6,4,8,7,6.25
ST-086,Natalie Roberts,David Coleman,8,5,9,2,6.0
ST-086,Natalie Roberts,Derek Wheeler,9,2,5,7,5.75
ST-085,Philip Duke,Jacob Lara,5,8,9,8,7.5
ST-085,Philip Duke,Sandra Hines,6,4,10,9,7.25
ST-085,Philip Duke,Bobby King,9,8,2,5,6.0
ST-085,Philip Duke,Philip Lyons,8,8,3,5,6.0
ST-085,Philip Duke,Audrey Blake,9,3,2,7,5.25
ST-079,Mariah Gregory,Jessica Lewis,10,5,9,6,7.5
ST-079,Mariah Gregory,Jose Fernandez,5,10,5,8,7.0
ST-079,Mariah Gregory,Robert Ballard,6,7,7,7,6.75
ST-079,Mariah Gregory,Roger Cortez,9,6,5,6,6.5
ST-079,Mariah Gregory,Linda Taylor,10,7,7,2,6.5
ST-074,William Fowler,Isabella Shields,8,8,6,8,7.5
ST-074,William Fowler,Allen Holland,5,9,9,7,7.5
ST-074,William Fowler,Daniel Moore,9,8,8,3,7.0
ST-074,William Fowler,Joe Mcdowell,3,8,8,7,6.5
ST-074,William Fowler,Frederick Hill,7,7,6,4,6.0
ST-073,Susan Williams,James Brown,8,8,8,9,8.25
ST-073,Susan Williams,Wesley Stuart,3,7,8,7,6.25
ST-073,Susan Williams,Andrew Gilbert IV,9,8,3,4,6.0
ST-073,Susan Williams,Angel Gomez,6,9,1,8,6.0
ST-073,Susan Williams,Jonathan Bell,9,2,9,4,6.0
ST-071,Patricia Sullivan,Denise Wright,7,8,8,6,7.25
ST-071,Patricia Sullivan,Michael Garner,5,8,7,7,6.75
ST-071,Patricia Sullivan,Dr. Suzanne Haynes DDS,10,2,8,6,6.5
ST-071,Patricia Sullivan,Thomas Sims,9,7,2,8,6.5
ST-071,Patricia Sullivan,Michael White,6,9,2,7,6.0
ST-059,April Foster,Cory Mckinney,10,6,8,4,7.0
ST-059,April Foster,Katelyn Ford,9,8,2,9,7.0
ST-059,April Foster,Kyle Davis,6,6,9,6,6.75
ST-059,April Foster,Erika Oliver,9,2,8,7,6.5
ST-059,April Foster,Terri Woods,7,2,8,8,6.25
ST-049,Matthew Villa,Amber Wolfe,9,2,10,10,7.75
ST-049,Matthew Villa,Chad Jones,8,8,8,5,7.25
ST-049,Matthew Villa,Kimberly Jordan,8,4,9,4,6.25
ST-049,Matthew Villa,Mr. Roger Webster,3,7,6,7,5.75
ST-049,Matthew Villa,James Ward,6,1,9,5,5.25
ST-043,Ashley Malone,Robert Smith,5,5,7,9,6.5
ST-043,Ashley Malone,Pamela Pena,4,6,1,9,5.0
ST-043,Ashley Malone,Kristine Long,3,4,5,7,4.75
ST-043,Ashley Malone,Leah Snyder,2,8,3,5,4.5
ST-043,Ashley Malone,Alyssa Robertson,0,7,3,7,4.25
ST-037,Craig Bates,David Rice,7,9,5,9,7.5
ST-037,Craig Bates,Megan Wright,8,9,4,8,7.25
ST-037,Craig Bates,Erika Oliver,8,10,1,9,7.0
ST-037,Craig Bates,Jason Johnson,10,4,4,10,7.0
ST-037,Craig Bates,Matthew Green,8,7,9,2,6.5
ST-035,Jennifer Martinez,Gregory Andrews,4,9,7,9,7.25
ST-035,Jennifer Martinez,Deanna Cummings,9,10,5,4,7.0
ST-035,Jennifer Martinez,Cathy Weber,4,9,10,2,6.25
ST-035,Jennifer Martinez,Sean Stout,4,9,5,6,6.0
ST-035,Jennifer Martinez,Patrick White,1,4,10,6,5.25
ST-033,Kayla Lee,Anthony Taylor,8,6,9,10,8.25
ST-033,Kayla Lee,Steve Fowler,2,9,6,10,6.75
ST-033,Kayla Lee,Jason Rodriguez,8,5,10,4,6.75
ST-033,Kayla Lee,William Chapman,7,5,3,10,6.25
ST-033,Kayla Lee,Charles Marks,7,7,3,8,6.25
ST-029,Angelica Leonard,Sara Nichols,5,7,7,9,7.0
ST-029,Angelica Leonard,Patricia Richard,8,10,4,4,6.5
ST-029,Angelica Leonard,Shannon Mcclure,3,8,5,9,6.25
ST-029,Angelica Leonard,Denise Wright,0,9,8,6,5.75
ST-029,Angelica Leonard,Jeffrey Melton,3,4,9,6,5.5
ST-027,Cynthia Howard,Valerie Hawkins,10,10,1,10,7.75
ST-027,Cynthia Howard,Timothy Garcia,4,9,9,3,6.25
ST-027,Cynthia Howard,Kaitlin Hernandez,8,7,2,8,6.25
ST-027,Cynthia Howard,Andre Fisher,9,5,4,5,5.75
ST-027,Cynthia Howard,Jennifer Moody,4,3,5,9,5.25
ST-016,Adam Williams,Joshua Lawson,9,7,10,8,8.5
ST-016,Adam Williams,Terri Arnold,7,9,9,8,8.25
ST-016,Adam Williams,Linda Rodriguez,8,9,8,6,7.75
ST-016,Adam Williams,Tony Obrien,4,7,8,8,6.75
ST-016,Adam Williams,Michael Alvarez,10,6,8,3,6.75
ST-007,Christine Chang,Erica Norman,10,10,7,8,8.75
ST-007,Christine Chang,Patricia Gilmore,9,8,9,5,7.75
ST-007,Christine Chang,Cathy Weber,3,7,3,9,5.5
ST-007,Christine Chang,Carol Berg,1,7,7,6,5.25
ST-007,Christine Chang,Lisa Zhang,4,2,6,9,5.25
ST-001,Alexander Baker,Mr. Roy Jackson,10,5,8,6,7.25
ST-001,Alexander Baker,Michele Barber,9,4,4,10,6.75
ST-001,Alexander Baker,Kevin Griffin,3,6,9,8,6.5
ST-001,Alexander Baker,Amanda Andrews,3,7,7,9,6.5
ST-001,Alexander Baker,Donna Cabrera,1,6,8,9,6.0
FS-094,Tracy Rogers,Sarah Briggs,7,5,8,7,6.75
FS-094,Tracy Rogers,Yvette Thompson,4,9,9,4,6.5
FS-094,Tracy Rogers,Jasmine Weaver MD,8,8,8,2,6.5
FS-094,Tracy Rogers,Lisa Harris,7,6,5,7,6.25
FS-094,Tracy Rogers,Benjamin Henry,8,4,4,9,6.25
FS-093,Dylan Villanueva,Sabrina Miller,9,7,5,8,7.25
FS-093,Dylan Villanueva,Laura Castro,9,9,1,9,7.0
FS-093,Dylan Villanueva,Melinda Morgan,9,8,1,10,7.0
FS-093,Dylan Villanueva,Mary Reynolds,4,9,9,5,6.75
FS-093,Dylan Villanueva,Russell Martin,9,9,2,7,6.75
FS-092,Christopher Johnston,Wyatt Obrien,7,8,10,10,8.75
FS-092,Christopher Johnston,Jennifer Moody,10,7,4,8,7.25
FS-092,Christopher Johnston,Gregory Clark,8,2,9,10,7.25
FS-092,Christopher Johnston,David Coleman,3,9,10,6,7.0
FS-092,Christopher Johnston,Jason Thomas,8,6,9,4,6.75
FS-084,Tina Hensley,Rebecca Bennett,6,10,9,10,8.75
FS-084,Tina Hensley,Jeremiah Jenkins,10,10,7,2,7.25
FS-084,Tina Hensley,Tammy Jones,10,6,9,3,7.0
FS-084,Tina Hensley,Alexander Anderson,7,9,9,2,6.75
FS-084,Tina Hensley,Hannah Graves,8,6,3,10,6.75
FS-081,Kathryn Weaver,Emily Galvan,9,6,7,9,7.75
FS-081,Kathryn Weaver,Jessica Taylor,9,6,6,9,7.5
FS-081,Kathryn Weaver,Patricia Gilmore,7,6,7,9,7.25
FS-081,Kathryn Weaver,Lori Baker,6,4,10,4,6.0
FS-081,Kathryn Weaver,Amy Miller,5,6,3,9,5.75
FS-075,Mrs. Katie Yu,James Miller,7,9,10,1,6.75
FS-075,Mrs. Katie Yu,Robin Mitchell,3,7,10,6,6.5
FS-075,Mrs. Katie Yu,Marcus Bryant,5,3,8,8,6.0
FS-075,Mrs. Katie Yu,Sierra Salinas,6,2,8,6,5.5
FS-075,Mrs. Katie Yu,Robert Rodriguez,4,7,8,2,5.25
FS-072,Victor Kline,Matthew Acosta,7,9,8,9,8.25
FS-072,Victor Kline,Kaitlyn Harris,8,9,2,9,7.0
FS-072,Victor Kline,John Richardson,7,7,8,5,6.75
FS-072,Victor Kline,Robert Monroe,6,9,6,5,6.5
FS-072,Victor Kline,Emily Summers,9,5,5,6,6.25
FS-069,Joshua Richardson,Patrick Cisneros,9,3,9,9,7.5
FS-069,Joshua Richardson,Tara Carter,7,8,8,7,7.5
FS-069,Joshua Richardson,Carlos Jones,6,8,5,10,7.25
FS-069,Joshua Richardson,Dr. Dustin Ramsey,9,6,5,8,7.0
FS-069,Joshua Richardson,Spencer Garcia,7,9,5,6,6.75
FS-067,Julie Willis,Carl King,5,8,3,10,6.5
FS-067,Julie Willis,Christian Harding,8,6,6,6,6.5
FS-067,Julie Willis,Paula Adkins,3,7,6,9,6.25
FS-067,Julie Willis,Rachel Hernandez,4,5,8,8,6.25
FS-067,Julie Willis,Ray Morrison,7,7,8,3,6.25
FS-048,Lindsay Knight,Sharon Vargas,5,5,6,8,6.0
FS-048,Lindsay Knight,Miss Linda Smith,8,3,6,7,6.0
FS-048,Lindsay Knight,Amy Long,5,6,4,8,5.75
FS-048,Lindsay Knight,Denise Wright,9,3,4,4,5.0
FS-048,Lindsay Knight,Maureen Doyle,5,6,3,2,4.0
FS-047,Casey Bartlett,Kaylee Ford,9,10,8,4,7.75
FS-047,Casey Bartlett,Donald Esparza,8,5,7,9,7.25
FS-047,Casey Bartlett,Elizabeth Mendoza,9,9,8,2,7.0
FS-047,Casey Bartlett,Steven Thomas,7,5,6,9,6.75
FS-047,Casey Bartlett,Melissa York,1,7,5,10,5.75
FS-045,Dr. Kristin Lee,Thomas Ritter,7,3,8,9,6.75
FS-045,Dr. Kristin Lee,Joseph Boyd,5,10,7,3,6.25
FS-045,Dr. Kristin Lee,Leslie Payne,10,1,5,9,6.25
FS-045,Dr. Kristin Lee,Megan Schmitt,5,7,9,3,6.0
FS-045,Dr. Kristin Lee,Joanne Phillips,4,8,1,10,5.75
FS-036,Hunter Garrison,Logan Chan,9,9,9,5,8.0
FS-036,Hunter Garrison,Karen Miller,7,9,4,9,7.25
FS-036,Hunter Garrison,Donna Branch,10,6,5,7,7.0
FS-036,Hunter Garrison,Rachel Flowers,6,8,9,2,6.25
FS-036,Hunter Garrison,Kevin Jackson,5,9,3,6,5.75
FS-030,Diana Morton,Donald Esparza,8,8,9,9,8.5
FS-030,Diana Morton,Connie Salazar,10,7,9,6,8.0
FS-030,Diana Morton,Thomas Ritter,4,7,10,8,7.25
FS-030,Diana Morton,Lori Baker,10,5,8,4,6.75
FS-030,Diana Morton,Jamie Rangel,1,9,7,8,6.25
FS-023,Jason Collins,Eddie Moore,5,6,7,2,5.0
FS-023,Jason Collins,Jeremiah Jenkins,9,0,2,8,4.75
FS-023,Jason Collins,Cory Mckinney,6,6,1,2,3.75
FS-023,Jason Collins,Tara Haas,2,0,3,1,1.5
FS-019,Anthony Ferguson,Brianna Rodgers,7,9,3,9,7.0
FS-019,Anthony Ferguson,Robert Dunn,8,9,6,5,7.0
FS-019,Anthony Ferguson,Jessica White,2,9,9,8,7.0
FS-019,Anthony Ferguson,Jennifer Moody,8,9,6,5,7.0
FS-019,Anthony Ferguson,Mary Jacobs,10,8,5,4,6.75
FS-017,Erik Adams,Jonathan Sims,1,10,3,9,5.75
FS-017,Erik Adams,Angela Schaefer,5,1,7,7,5.0
FS-017,Erik Adams,Patricia Richard,1,2,6,7,4.0
DS-100,Matthew Diaz III,Teresa Turner,7,6,9,2,6.0
DS-100,Matthew Diaz III,William Jensen,8,2,8,3,5.25
DS-100,Matthew Diaz III,Jeffrey Parker,1,10,5,4,5.0
DS-100,Matthew Diaz III,Bradley Ball,6,4,2,8,5.0
DS-100,Matthew Diaz III,Timothy Garcia,5,3,5,6,4.75
DS-099,Taylor Jackson,Amy Turner,9,4,10,8,7.75
DS-099,Taylor Jackson,Angel Little,9,5,5,8,6.75
DS-099,Taylor Jackson,Grace Holder,8,10,8,0,6.5
DS-099,Taylor Jackson,Mr. Frank Thompson,1,8,6,10,6.25
DS-099,Taylor Jackson,Kristin Griffin,9,9,5,2,6.25
DS-097,Julie Willis,Michael Alvarez,8,9,9,5,7.75
DS-097,Julie Willis,Philip Lyons,3,3,10,10,6.5
DS-097,Julie Willis,Rebecca Bryant,3,10,4,7,6.0
DS-097,Julie Willis,Paul Mcdaniel,10,0,9,5,6.0
DS-097,Julie Willis,Joe Mcdowell,9,3,5,3,5.0
DS-095,Michael Frost,Christian Harding,8,3,5,6,5.5
DS-095,Michael Frost,Steven Thomas,3,6,2,10,5.25
DS-095,Michael Frost,Katherine Clark,9,7,1,2,4.75
DS-090,April Smith,Adrian Smith,8,10,9,3,7.5
DS-090,April Smith,Brooke Mccarthy,9,5,8,7,7.25
DS-090,April Smith,Robert Harding,8,10,6,5,7.25
DS-090,April Smith,Autumn Page,7,10,7,4,7.0
DS-090,April Smith,Calvin Velazquez,9,4,7,6,6.5
DS-089,Danny Stevens,John Smith,4,8,4,10,6.5
DS-089,Danny Stevens,Mr. John Adams DVM,2,4,9,9,6.0
DS-089,Danny Stevens,Sean Hernandez,9,9,3,2,5.75
DS-089,Danny Stevens,Pamela Stevens,5,8,4,5,5.5
DS-089,Danny Stevens,Michelle Taylor,8,6,2,5,5.25
DS-083,Patricia Shepard DVM,Kelly Stout,7,2,6,10,6.25
DS-083,Patricia Shepard DVM,Mrs. Jamie Eaton,1,9,4,10,6.0
DS-083,Patricia Shepard DVM,Michelle Bautista,5,7,5,5,5.5
DS-083,Patricia Shepard DVM,Jeanette Perez,5,1,9,5,5.0
DS-083,Patricia Shepard DVM,Eddie Moore,3,3,7,6,4.75
DS-080,Kendra Robinson,Shannon Taylor DDS,4,10,9,9,8.0
DS-080,Kendra Robinson,Matthew Ward,5,7,8,9,7.25
DS-080,Kendra Robinson,Miguel Kent,8,10,5,6,7.25
DS-080,Kendra Robinson,Peggy Torres,9,2,9,8,7.0
DS-080,Kendra Robinson,Mary Sawyer,3,5,10,9,6.75
DS-077,Matthew Gonzalez,Christopher Smith,8,7,7,9,7.75
DS-077,Matthew Gonzalez,Erica Norman,9,9,4,7,7.25
DS-077,Matthew Gonzalez,Tony Caldwell,8,6,6,8,7.0
DS-077,Matthew Gonzalez,Ricardo Phillips,9,10,1,6,6.5
DS-077,Matthew Gonzalez,Cody Smith,7,6,10,2,6.25
DS-070,Amber Powers,Shannon Mcclure,8,9,8,6,7.75
DS-070,Amber Powers,Kirk Hopkins,5,9,6,9,7.25
DS-070,Amber Powers,Joshua Williams,8,9,9,3,7.25
DS-070,Amber Powers,Sean Stout,9,8,2,10,7.25
DS-070,Amber Powers,Jeffrey Melton,8,10,3,6,6.75
DS-068,Diana Morton,Jacqueline Moore,9,8,9,6,8.0
DS-068,Diana Morton,Kristen Mitchell,10,8,7,1,6.5
DS-068,Diana Morton,Mr. Robert Dennis DDS,7,4,6,6,5.75
DS-068,Diana Morton,Kevin Faulkner,7,6,8,1,5.5
DS-068,Diana Morton,Miss Renee Nguyen,5,6,8,2,5.25
DS-065,Allison Willis,David Giles,10,7,9,7,8.25
DS-065,Allison Willis,Don Williams,5,10,9,7,7.75
DS-065,Allison Willis,Tara Craig,6,9,6,8,7.25
DS-065,Allison Willis,Michelle Bautista,8,6,8,7,7.25
DS-065,Allison Willis,Natasha White,9,7,7,6,7.25
DS-063,Lawrence Robinson Jr.,Wesley Stuart,6,10,7,1,6.0
DS-063,Lawrence Robinson Jr.,Cynthia Sims,7,3,3,9,5.5
DS-063,Lawrence Robinson Jr.,Karen Oliver,1,7,2,9,4.75
DS-063,Lawrence Robinson Jr.,Kaylee Ford,6,4,6,2,4.5
DS-063,Lawrence Robinson Jr.,Pamela Stevens,4,1,3,7,3.75
DS-061,Emily Ballard,Michael Morales,4,2,8,9,5.75
DS-061,Emily Ballard,Katie Marshall,10,5,1,5,5.25
DS-061,Emily Ballard,Sean Hernandez,2,6,1,7,4.0
DS-061,Emily Ballard,Anthony Bonilla,9,2,2,2,3.75
DS-060,Michael Sanchez,Erica Norman,3,8,9,8,7.0
DS-060,Michael Sanchez,Tanner Ortega,9,8,6,5,7.0
DS-060,Michael Sanchez,Leslie Payne,7,6,6,9,7.0
DS-060,Michael Sanchez,Christopher Clark,7,8,7,5,6.75
DS-060,Michael Sanchez,Cory Crawford,8,9,3,1,5.25
DS-058,Joshua Richardson,Crystal Lopez,10,6,5,9,7.5
DS-058,Joshua Richardson,Sara Nichols,8,8,8,6,7.5
DS-058,Joshua Richardson,Wesley Stuart,10,6,1,9,6.5
DS-058,Joshua Richardson,Joshua Mcintosh,1,4,8,9,5.5
DS-058,Joshua Richardson,Rodney Garcia,8,6,3,1,4.5
DS-056,Gloria Lee,Miguel Kent,8,6,10,7,7.75
DS-056,Gloria Lee,Mrs. Whitney Martin,5,9,9,7,7.5
DS-056,Gloria Lee,Bradley Ball,8,9,7,6,7.5
DS-056,Gloria Lee,Diane Pena,6,10,7,6,7.25
DS-056,Gloria Lee,Daniel Young,7,10,3,9,7.25
DS-053,Troy Wagner,Michael Morales,5,7,5,8,6.25
DS-053,Troy Wagner,Mr. Roy Jackson,10,2,5,7,6.0
DS-053,Troy Wagner,James Brown,5,6,5,6,5.5
DS-053,Troy Wagner,Lindsay Johnson,7,4,7,4,5.5
DS-053,Troy Wagner,Morgan Taylor,8,2,9,3,5.5
DS-051,Gloria Lee,Joseph Rivera,5,9,10,9,8.25
DS-051,Gloria Lee,Tony Caldwell,8,6,8,9,7.75
DS-051,Gloria Lee,Daniel Chavez,6,9,8,6,7.25
DS-051,Gloria Lee,Patricia Gilmore,7,6,8,6,6.75
DS-051,Gloria Lee,Kaylee Ford,4,8,3,10,6.25
DS-050,Joyce Lopez,Rodney Garcia,1,10,9,9,7.25
DS-050,Joyce Lopez,Terri Marquez,7,10,7,4,7.0
DS-050,Joyce Lopez,Kyle Davis,9,9,5,3,6.5
DS-050,Joyce Lopez,Maria Bell,2,6,7,9,6.0
DS-050,Joyce Lopez,Justin Kelly,4,9,6,3,5.5
DS-044,Mary Love,Rodney Garcia,5,9,10,5,7.25
DS-044,Mary Love,Jordan Patterson,5,10,9,3,6.75
DS-044,Mary Love,Ross Robinson,10,8,4,1,5.75
DS-044,Mary Love,Robert Morales,4,8,9,2,5.75
DS-044,Mary Love,Amber Garcia,0,8,4,10,5.5
DS-039,Joshua Richardson,Tanner Campbell,6,10,9,8,8.25
DS-039,Joshua Richardson,Carlos Jones,8,3,7,10,7.0
DS-039,Joshua Richardson,Kaitlin Hernandez,8,4,7,9,7.0
DS-039,Joshua Richardson,Sabrina Miller,9,9,3,6,6.75
DS-039,Joshua Richardson,Erika Walker,6,9,3,8,6.5
DS-038,Jennifer Stewart,Angel Little,8,10,9,7,8.5
DS-038,Jennifer Stewart,Susan Cruz,2,9,1,8,5.0
DS-038,Jennifer Stewart,Austin Howard,0,1,6,8,3.75
DS-038,Jennifer Stewart,Scott Bennett,2,2,6,5,3.75
DS-032,Brandon Hill,Omar Norman,6,6,3,8,5.75
DS-032,Brandon Hill,Calvin Velazquez,8,9,5,0,5.5
DS-032,Brandon Hill,William Jensen,7,3,8,4,5.5
DS-032,Brandon Hill,Marcus Bryant,1,3,7,9,5.0
DS-032,Brandon Hill,Maria Bell,6,1,8,4,4.75
DS-021,Diane Knox,Ross Robinson,10,2,3,7,5.5
DS-021,Diane Knox,Michelle Taylor,2,3,8,8,5.25
DS-021,Diane Knox,Angela Wilson,7,2,5,5,4.75
DS-021,Diane Knox,Omar Norman,5,4,4,3,4.0
DS-021,Diane Knox,Amy Miller,5,2,7,0,3.5
DS-020,Jason Collins,Robert Harding,6,10,10,9,8.75
DS-020,Jason Collins,Jason Aguilar,10,9,7,5,7.75
DS-020,Jason Collins,Michelle Banks MD,6,4,10,5,6.25
DS-020,Jason Collins,Andrew Taylor,2,2,10,2,4.0
DS-020,Jason Collins,Mr. Matthew Boyle,7,0,7,1,3.75
DS-006,Mrs. Katie Yu,Anthony Mcdowell,9,6,6,5,6.5
DS-006,Mrs. Katie Yu,Erika Oliver,7,4,2,7,5.0
DS-004,Allison Willis,Michael Harrington,6,8,9,9,8.0
DS-004,Allison Willis,Jason Horton,5,9,8,6,7.0
DS-004,Allison Willis,Melinda Morgan,4,6,10,6,6.5
DS-004,Allison Willis,Pamela Cook,1,9,2,9,5.25
DS-004,Allison Willis,Andrew Cortez,3,4,9,4,5.0
DE-098,Mitchell Faulkner,James Meyer,10,8,7,6,7.75
DE-098,Mitchell Faulkner,Kenneth Haynes,8,5,3,9,6.25
DE-098,Mitchell Faulkner,James Miller,8,9,3,5,6.25
DE-098,Mitchell Faulkner,James Blackburn,0,7,10,7,6.0
DE-098,Mitchell Faulkner,Sharon Marshall,10,1,2,9,5.5
DE-091,Jennifer Ramos,Jordan Patterson,4,9,10,8,7.75
DE-091,Jennifer Ramos,Rachel Jones,3,8,9,9,7.25
DE-091,Jennifer Ramos,Arthur Marsh,8,6,9,4,6.75
DE-091,Jennifer Ramos,Bryan Henderson,10,4,1,9,6.0
DE-091,Jennifer Ramos,Christopher Clark,10,2,4,7,5.75
DE-088,Amber Powers,Wyatt Obrien,4,10,8,10,8.0
DE-088,Amber Powers,Joyce Stephens,6,8,10,3,6.75
DE-088,Amber Powers,Katrina Haney,3,4,9,9,6.25
